Country Name,Country Code,Indicator Name,Indicator Code,Year,Forest Area (% of land)
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,1990,2.33333333333333
Africa Eastern and Southern,AFE,Forest area (% of land area),AG.LND.FRST.ZS,1990,42.9752498758181
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,1990,1.85278199408184
Africa Western and Central,AFW,Forest area (% of land area),AG.LND.FRST.ZS,1990,22.7769081273257
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,1990,63.5780701050774
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,1990,28.7883211678832
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,1990,34.0425531914894
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,1990,1.78607679772462
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,1990,3.44973246972684
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,1990,12.8637149256949
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,1990,90.35
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,1990,22.9772727272727
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,1990,17.4273589940513
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,1990,45.7546049442559
Burundi,BDI,Forest area (% of land area),AG.LND.FRST.ZS,1990,10.7663551401869
Benin,BEN,Forest area (% of land area),AG.LND.FRST.ZS,1990,42.8800106420717
Burkina Faso,BFA,Forest area (% of land area),AG.LND.FRST.ZS,1990,28.2039473684211
Bangladesh,BGD,Forest area (% of land area),AG.LND.FRST.ZS,1990,14.7524775293847
Bulgaria,BGR,Forest area (% of land area),AG.LND.FRST.ZS,1990,30.0732170297388
Bahrain,BHR,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.318840579710145
"Bahamas, The",BHS,Forest area (% of land area),AG.LND.FRST.ZS,1990,50.9350649350649
Belize,BLZ,Forest area (% of land area),AG.LND.FRST.ZS,1990,70.1459886014906
Bermuda,BMU,Forest area (% of land area),AG.LND.FRST.ZS,1990,18.5185185185185
Bolivia,BOL,Forest area (% of land area),AG.LND.FRST.ZS,1990,53.3598449183052
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,1990,70.4580205643839
Barbados,BRB,Forest area (% of land area),AG.LND.FRST.ZS,1990,14.6511627906977
Brunei Darussalam,BRN,Forest area (% of land area),AG.LND.FRST.ZS,1990,78.3681214421252
Bhutan,BTN,Forest area (% of land area),AG.LND.FRST.ZS,1990,53.6506645549301
Botswana,BWA,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.1792917262188
Central African Republic,CAF,Forest area (% of land area),AG.LND.FRST.ZS,1990,37.2451764101576
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,1990,38.8455115614254
Central Europe and the Baltics,CEB,Forest area (% of land area),AG.LND.FRST.ZS,1990,27.7038335099302
Switzerland,CHE,Forest area (% of land area),AG.LND.FRST.ZS,1990,29.1809082231976
Channel Islands,CHI,Forest area (% of land area),AG.LND.FRST.ZS,1990,4.19191919191919
Chile,CHL,Forest area (% of land area),AG.LND.FRST.ZS,1990,20.5049009323069
China,CHN,Forest area (% of land area),AG.LND.FRST.ZS,1990,16.7380065507416
Cote d'Ivoire,CIV,Forest area (% of land area),AG.LND.FRST.ZS,1990,24.6882389937107
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,1990,47.5978929999365
"Congo, Dem. Rep.",COD,Forest area (% of land area),AG.LND.FRST.ZS,1990,66.4427339494056
"Congo, Rep.",COG,Forest area (% of land area),AG.LND.FRST.ZS,1990,65.3440702781845
Colombia,COL,Forest area (% of land area),AG.LND.FRST.ZS,1990,58.5472194682289
Comoros,COM,Forest area (% of land area),AG.LND.FRST.ZS,1990,24.7501343363783
Cabo Verde,CPV,Forest area (% of land area),AG.LND.FRST.ZS,1990,3.81637717121588
Costa Rica,CRI,Forest area (% of land area),AG.LND.FRST.ZS,1990,56.9408538973756
Caribbean small states,CSS,Forest area (% of land area),AG.LND.FRST.ZS,1990,91.5268078916791
Cuba,CUB,Forest area (% of land area),AG.LND.FRST.ZS,1990,19.1620111731844
Cayman Islands,CYM,Forest area (% of land area),AG.LND.FRST.ZS,1990,54.7083333333333
Cyprus,CYP,Forest area (% of land area),AG.LND.FRST.ZS,1990,17.4361471861472
Germany,DEU,Forest area (% of land area),AG.LND.FRST.ZS,1990,32.3661673302208
Djibouti,DJI,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.241587575496117
Dominica,DMA,Forest area (% of land area),AG.LND.FRST.ZS,1990,67.08
Denmark,DNK,Forest area (% of land area),AG.LND.FRST.ZS,1990,13.286
Dominican Republic,DOM,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.0136617677499
Algeria,DZA,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.699908470278032
